Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR3192396_1	1.9.1	105089150	31907642	105089150	10614004150	223928038	10345268814	2.5318940166421546
SRR3192396_2	1.9.1	105089150	32883672	105089150	10614004150	373151687	10194057791	3.956530947842149
SRR3192397_1	1.9.1	92494632	29457331	92494632	9341957832	155135737	9145059528	2.1076770794826682
SRR3192397_2	1.9.1	92494632	29937340	92494632	9341957832	283316439	9015621178	3.493236213100474
SRR3192398_1	1.9.1	68765938	24776219	68765938	6876593800	278227662	6538840170	4.91164142922038
SRR3192398_2	1.9.1	68765938	25752326	68765938	6876593800	282522512	6533246681	4.992982412310002
SRR3192399_1	1.9.1	76795926	27726219	76795926	7679592600	306342809	7304196164	4.888233732607118
SRR3192399_2	1.9.1	76795926	28921721	76795926	7679592600	314228271	7294474633	5.01482288266177
SRR3192400_1	1.9.1	95791942	37358468	95791942	9579194200	276282222	9074213717	5.271638432802626
SRR3192400_2	1.9.1	95791942	36966867	95791942	9579194200	459057679	8893887057	7.1541209906779
SRR3192401_1	1.9.1	95735344	37721932	95735344	9573534400	325568713	8984320742	6.154609503466139
SRR3192401_2	1.9.1	95735344	38037448	95735344	9573534400	328931711	8974093171	6.261441218616189
SRR3192657_1	1.9.1	93555584	28666140	93555584	9449113984	146347194	9262914510	1.9705495596231342
SRR3192657_2	1.9.1	93555584	30516092	93555584	9449113984	247487419	9157670096	3.084351490451869
SRR3192658_1	1.9.1	97548052	28796974	97548052	9852353252	176076813	9636205578	2.1938684948808818
SRR3192658_2	1.9.1	97548052	30622375	97548052	9852353252	287989645	9520194936	3.371360196941505
