Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR3192396_1	SRR3192396_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105089150.0	0.0	101.0	50.0	26.378575022943284	101.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass	fail
SRR3192396_1_val_1	SRR3192396_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	104413184.0	0.0	20-101	50.0	27.188690536675786	97.89615045165178	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
SRR3192396_2	SRR3192396_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105089150.0	0.0	101.0	51.0	20.4473711873191	101.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass	fail
SRR3192396_2_val_2	SRR3192396_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	104413184.0	0.0	20-101	51.0	21.068899797411646	96.87862088373821	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRR3192397_1	SRR3192397_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92494632.0	0.0	101.0	48.0	27.16089822834829	101.0	pass	pass	pass	fail	fail	pass	pass	fail	warn	pass	fail
SRR3192397_1_val_1	SRR3192397_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91969895.0	0.0	20-101	48.0	27.827027551441653	98.28507924250647	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass	fail
SRR3192397_2	SRR3192397_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	92494632.0	0.0	101.0	49.0	22.229508644640912	101.0	pass	pass	pass	warn	fail	pass	pass	fail	fail	pass	fail
SRR3192397_2_val_2	SRR3192397_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	91969895.0	0.0	20-101	49.0	22.792169638230686	97.28551728802125	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass	fail
SRR3192398_1	SRR3192398_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68765938.0	0.0	100.0	47.0	40.16946537308429	100.0	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
SRR3192398_1_val_1	SRR3192398_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66565696.0	0.0	20-100	47.0	40.03584101798211	96.93062207296683	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	fail
SRR3192398_2	SRR3192398_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68765938.0	0.0	100.0	47.0	45.020943865745025	100.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
SRR3192398_2_val_2	SRR3192398_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	66565696.0	0.0	20-100	47.0	44.68863082102252	96.74128506070154	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRR3192399_1	SRR3192399_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76795926.0	0.0	100.0	47.0	38.88921652665939	100.0	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
SRR3192399_1_val_1	SRR3192399_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74334517.0	0.0	20-100	47.0	38.839043642883766	96.91079300347106	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	fail
SRR3192399_2	SRR3192399_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76795926.0	0.0	100.0	47.0	42.93535458782176	100.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
SRR3192399_2_val_2	SRR3192399_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	74334517.0	0.0	20-100	47.0	42.648865013014195	96.71507601239946	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
SRR3192400_1	SRR3192400_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	95791942.0	0.0	100.0	45.0	22.742925715532834	100.0	pass	pass	pass	fail	warn	pass	pass	fail	warn	warn	fail
SRR3192400_1_val_1	SRR3192400_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	94925479.0	0.0	20-100	45.0	23.96623792199109	94.54794685839826	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	fail
