Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3192396_1	67.54893664492279	71898412	93.7	97833503.0	2.5318940166421546	73.62142497705672	50.0	101.0	36.36363636363637	105089150.0
SRR3192396_1_val_1						72.81130946332422	50.0	97.89615045165178	36.36363636363637	104413184.0
SRR3192396_2					3.956530947842149	79.5526288126809	51.0	101.0	36.36363636363637	105089150.0
SRR3192396_2_val_2						78.93110020258835	51.0	96.87862088373821	45.45454545454545	104413184.0
SRR3192397_1	66.62669941163432	62966583	94.7	87095738.0	2.1076770794826682	72.83910177165171	48.0	101.0	36.36363636363637	92494632.0
SRR3192397_1_val_1						72.17297244855834	48.0	98.28507924250647	36.36363636363637	91969895.0
SRR3192397_2					3.493236213100474	77.77049135535908	49.0	101.0	36.36363636363637	92494632.0
SRR3192397_2_val_2						77.20783036176931	49.0	97.28551728802125	36.36363636363637	91969895.0
SRR3192398_1	50.86601662781241	36507149	88.15	58676080.0	4.91164142922038	59.83053462691571	47.0	100.0	36.36363636363637	68765938.0
SRR3192398_1_val_1						59.96415898201789	47.0	96.93062207296683	36.36363636363637	66565696.0
SRR3192398_2					4.992982412310002	54.979056134254975	47.0	100.0	27.27272727272727	68765938.0
SRR3192398_2_val_2						55.31136917897748	47.0	96.74128506070154	27.27272727272727	66565696.0
SRR3192399_1	52.318855527479904	42336127	88.2	65561303.0	4.888233732607118	61.11078347334061	47.0	100.0	45.45454545454545	76795926.0
SRR3192399_1_val_1						61.160956357116234	47.0	96.91079300347106	45.45454545454545	74334517.0
SRR3192399_2					5.01482288266177	57.06464541217824	47.0	100.0	27.27272727272727	76795926.0
SRR3192399_2_val_2						57.351134986985805	47.0	96.71507601239946	27.27272727272727	74334517.0
SRR3192400_1	70.32385754522208	63437308	77.29	73365420.0	5.271638432802626	77.25707428446717	45.0	100.0	27.27272727272727	95791942.0
SRR3192400_1_val_1						76.0337620780089	45.0	94.54794685839826	27.27272727272727	94925479.0
SRR3192400_2					7.1541209906779	74.85592470024663	45.0	100.0	27.27272727272727	95791942.0
SRR3192400_2_val_2						74.07066708107476	45.0	93.27286268421147	27.27272727272727	94925479.0
SRR3192401_1	71.21159034142828	63800363	76.43	72790825.0	6.154609503466139	77.82351978594743	45.0	100.0	27.27272727272727	95735344.0
SRR3192401_1_val_1						75.43826108596639	45.0	93.61207177023691	27.27272727272727	95236637.0
SRR3192401_2					6.261441218616189	77.70294556011848	45.0	100.0	27.27272727272727	95735344.0
SRR3192401_2_val_2						76.29523082436083	45.0	93.83645115482186	27.27272727272727	95236637.0
SRR3192657_1	73.14677265914243	67122403	91.21	84960909.0	1.9705495596231342	81.38182922043502	50.0	101.0	27.27272727272727	93555584.0
SRR3192657_1_val_1						80.65670564431444	50.0	98.37589935524474	27.27272727272727	93144645.0
SRR3192657_2					3.084351490451869	82.95010371251878	51.0	101.0	18.181818181818183	93555584.0
SRR3192657_2_val_2						82.15171768311585	51.0	97.55237061668977	27.27272727272727	93144645.0
SRR3192658_1	71.17283553260654	66903054	89.74	87107290.0	2.1938684948808818	81.26510874552189	52.0	101.0	27.27272727272727	97548052.0
SRR3192658_1_val_1						80.54995141087203	52.0	98.15951465629836	27.27272727272727	97071168.0
SRR3192658_2					3.371360196941505	83.0268587032534	53.0	101.0	18.181818181818183	97548052.0
SRR3192658_2_val_2						82.33760516590853	52.0	97.2974034267312	27.27272727272727	97071168.0
