Module	Section	Sample Name	Source
featureCounts	all_sections	SRR3192398_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192401_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192657_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192396_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192400_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192658_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192399_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_1_star_aligned.bam_counts.txt.summary
featureCounts	all_sections	SRR3192397_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_1_star_aligned.bam_counts.txt.summary
STAR	SummaryLog	SRR3192398_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_1Log.final.out
STAR	SummaryLog	SRR3192399_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_1Log.final.out
STAR	SummaryLog	SRR3192397_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_1Log.final.out
STAR	SummaryLog	SRR3192657_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_1Log.final.out
STAR	SummaryLog	SRR3192401_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_1Log.final.out
STAR	SummaryLog	SRR3192658_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_1Log.final.out
STAR	SummaryLog	SRR3192396_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_1Log.final.out
STAR	SummaryLog	SRR3192400_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_1Log.final.out
Cutadapt	all_sections	SRR3192396_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192398_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192400_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192397_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192658_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192398_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192657_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192657_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192399_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192658_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192401_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192400_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192401_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192396_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192399_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR3192397_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_2.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR3192396_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192400_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_1_fastqc.zip
FastQC	all_sections	SRR3192396_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_2_fastqc.zip
FastQC	all_sections	SRR3192399_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_1_fastqc.zip
FastQC	all_sections	SRR3192396_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192400_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192399_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192397_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_1_fastqc.zip
FastQC	all_sections	SRR3192658_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192399_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192657_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_2_fastqc.zip
FastQC	all_sections	SRR3192398_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192396_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192396_1_fastqc.zip
FastQC	all_sections	SRR3192658_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_2_fastqc.zip
FastQC	all_sections	SRR3192398_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192658_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192397_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_2_fastqc.zip
FastQC	all_sections	SRR3192401_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_2_fastqc.zip
FastQC	all_sections	SRR3192398_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_1_fastqc.zip
FastQC	all_sections	SRR3192398_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192398_2_fastqc.zip
FastQC	all_sections	SRR3192657_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192401_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192397_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192657_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192401_2_val_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_2_val_2_fastqc.zip
FastQC	all_sections	SRR3192400_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_2_fastqc.zip
FastQC	all_sections	SRR3192400_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192400_1_val_1_fastqc.zip
FastQC	all_sections	SRR3192401_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192401_1_fastqc.zip
FastQC	all_sections	SRR3192657_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192657_1_fastqc.zip
FastQC	all_sections	SRR3192658_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192658_1_fastqc.zip
FastQC	all_sections	SRR3192399_2	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192399_2_fastqc.zip
FastQC	all_sections	SRR3192397_1_val_1	/home/olkuka/Pulpit/Studia/Praca inżynierska/data/SRR3192397_1_val_1_fastqc.zip
